1, 556, 5040, 1557
3, 712, 12540, 944
6, 1947, 15834, 984
7, 939, 21384, 2587
9, 570, 4125, 1996
10, 843, 38088, 1769
13, 844, 11970, 2159
15, 920, 10164, 2521
16, 745, 8835, 1698
20, 825, 12144, 2239
23, 322, 11408, 425
24, 1710, 24150, 2570
26, 875, 4368, 1706
28, 1889, 12090, 1050
29, 1856, 34224, 2231
30, 1488, 46368, 2608
31, 974, 14384, 1664
33, 556, 11544, 965
34, 1338, 11880, 1142
35, 1773, 18800, 1049
36, 989, 22568, 1531
37, 934, 7410, 3000
38, 818, 23220, 559
39, 1067, 19500, 1178
40, 1764, 9072, 1953
41, 862, 17226, 1161
42, 907, 49104, 1037
43, 306, 13566, 2524
44, 1041, 8400, 378
47, 1918, 38280, 2203
48, 286, 9360, 1333
52, 954, 10626, 1596
53, 906, 6600, 1933
57, 929, 27778, 3000
59, 1266, 12350, 2372
62, 1468, 4785, 2137
64, 1121, 3060, 829
65, 1092, 6448, 889
66, 1221, 16524, 1378
67, 1039, 15312, 1198
68, 684, 5655, 1614
71, 551, 12369, 3000
73, 1895, 22950, 1216
75, 1246, 10800, 2448
77, 475, 5324, 1787
78, 1289, 24219, 1179
79, 1048, 28080, 1223
81, 1121, 8959, 1345
82, 1288, 46920, 2442
83, 857, 7038, 2178
84, 1308, 5280, 1911
86, 1643, 18183, 895
87, 894, 28900, 1183
89, 413, 22620, 322
92, 928, 8112, 1588
93, 1227, 14858, 254
94, 1266, 21840, 1565
103, 110, 5700, 1128
104, 1169, 24786, 1512
105, 701, 33462, 1107
107, 649, 13090, 1623
109, 1272, 20160, 1224
111, 1279, 6650, 1451
112, 1763, 22176, 967
113, 1847, 39312, 1937
114, 1141, 9072, 942
115, 247, 19602, 1113
116, 528, 11718, 1061
117, 938, 7020, 398
119, 684, 8736, 50
120, 1286, 15660, 2030
121, 1984, 5400, 1724
122, 128, 9009, 1987
124, 845, 27456, 1286
126, 648, 6120, 2312
127, 1127, 26936, 1132
128, 821, 21390, 2341
129, 1117, 4116, 943
131, 970, 64000, 1358
132, 734, 8250, 1045
135, 110, 20790, 2722
136, 824, 18392, 987
138, 1183, 19344, 1923
139, 1054, 16900, 981
145, 174, 62720, 1817
150, 819, 30096, 1442
152, 1419, 4180, 1036
153, 1063, 52026, 1553
154, 2178, 36192, 3000
155, 956, 7776, 1940
158, 1656, 17100, 1123
159, 748, 9108, 2805
160, 1093, 14616, 1514
162, 1123, 18150, 1555
164, 1344, 25575, 2005
168, 1262, 47000, 1920
169, 846, 11200, 3000
170, 1163, 32736, 1538
171, 110, 11571, 1979
175, 483, 6900, 1164
176, 1264, 24948, 1571
179, 110, 15600, 1381
180, 1412, 15552, 1432
181, 940, 9120, 1083
182, 361, 5320, 1451
184, 1050, 40500, 1410
186, 775, 23345, 938
187, 110, 19200, 1054
188, 977, 12240, 1482
191, 1589, 58938, 1855
193, 646, 11776, 1768
195, 1450, 21504, 1927
196, 895, 5460, 1494
198, 1603, 28520, 647
202, 1309, 15066, 1784
203, 362, 10880, 1676
204, 1191, 12150, 192
208, 710, 9548, 2579
209, 1452, 8280, 50
217, 1276, 27692, 623
220, 1637, 13020, 50
224, 417, 15732, 1120
226, 212, 8208, 1851
229, 698, 25500, 1152
232, 1592, 18480, 2623
233, 985, 18445, 1649
234, 1299, 13680, 1601
235, 1261, 11648, 1200
237, 1055, 9072, 1468
241, 784, 7030, 2786
244, 1297, 11200, 1800
247, 1189, 24300, 2372
248, 1032, 5610, 1006
249, 1494, 17664, 1969
251, 816, 8008, 1773
252, 1029, 18722, 831
254, 855, 9724, 947
256, 1203, 33212, 2812
257, 1045, 8398, 2402
258, 616, 26588, 570
259, 1438, 20350, 2240
263, 776, 16660, 2118
265, 474, 13750, 1191
266, 790, 36400, 1025
267, 1441, 27807, 2043
272, 1022, 18480, 2297
274, 587, 9072, 2992
278, 924, 10920, 932
280, 1246, 17000, 1830
286, 759, 36750, 893
288, 1714, 23220, 1061
289, 1615, 6900, 1303
293, 494, 13110, 651
294, 180, 14742, 2715
296, 906, 38164, 953
297, 860, 26208, 1344
298, 1013, 13398, 1680
300, 1216, 22400, 1573
305, 783, 17136, 317
306, 1074, 8512, 55
310, 110, 8398, 1172
313, 1599, 23529, 194
314, 1002, 16640, 2175
315, 1320, 22750, 1920
316, 639, 36456, 1432
318, 2317, 3770, 1244
319, 1897, 25200, 826
321, 110, 11700, 946
322, 626, 18480, 358
323, 2063, 12600, 50
326, 887, 23184, 243
333, 1455, 6912, 2825
335, 1610, 27600, 1312
337, 920, 12240, 50
340, 661, 13200, 1429
341, 1776, 9744, 506
342, 511, 9240, 1612
345, 959, 5236, 2280
347, 877, 15300, 1063
348, 1315, 3000, 1579
349, 351, 16820, 1018
350, 839, 20097, 2036
351, 1203, 38016, 2029
355, 1891, 19656, 1185
357, 916, 18252, 1957
359, 809, 47040, 1542
361, 1245, 7200, 2578
363, 778, 18920, 2256
366, 1463, 10556, 2636
367, 767, 23088, 1419
368, 1506, 8624, 1604
373, 1155, 21250, 1853
377, 518, 6440, 50
378, 1266, 37440, 1782
379, 777, 3060, 1812
382, 697, 5600, 1463
384, 794, 32480, 1794
385, 1936, 8700, 515
